,Location,Nationality,Job_Category,Employment_Type,Gender,Years_Of_Experience,Minimum_Education,Job_Title
774,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Translator
775,Central Highlands,National,Health,Full Time,Male,0.0,BA,Position Title: P&O Technician (Re Announced)
776,South Zone,National,Health,Full Time,Any,3.0,BA,Position Title: CBNP Master Trainer
777,Kabul City,National,Others,Full Time,Any,4.0,BA,Position Title: Marketing Director
778,East Zone,National,Business,Full Time,Any,2.5,BA,Position Title: Protection Officer - (Psychosocial Support Services)
779,Kabul City,National,Business,Full Time,Any,10.0,BA,Position Title: National Consultant (Development of UNDP Afghanistan mine action project)
780,North-East Zone,National,Business,Full Time,Female,3.0,BA,Position Title: EBSFP Moderator (Badakhshan)
781,North-East Zone,National,Business,Full Time,Female,3.0,BA,Position Title: EBSFP Moderator (Takhar)
782,North-Zone,National,Health,Full Time,Female,5.0,BA,Position Title: Quality Improvment Officer (Midwife) BACHELOR DEGREE (Re Announced) (Re Announced)
783,North-East Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Food Distributor (Badakhshan)
784,North-East Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Crowd Controller (Badakhshan)
785,South Zone,National,Business,Full Time,Any,4.0,BA,Position Title: MEAL Officer
786,North-East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Help Desk Information Officer (Badakhshan)
787,North-East Zone,National,Health,Full Time,Female,1.0,BA,Position Title: Gynecologist (Re Announced)
788,East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Community mobilizers (Hygiene Promotors and GBV trainers) Couples
789,Kabul City,National,Business,Full Time,Male,3.0,BA,Position Title: Finance Officer
790,Kabul City,National,Security,Full Time,Any,4.5,BA,Position Title: Senior Security Officer
791,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Budget Officer
792,Central Highlands,National,Health,Full Time,Female,5.0,BA,Position Title: Quality Improvement Senior Officer (ob/Gyn Specialist) (Re Announced)
793,Central Highlands,National,Business,Part Time,Female,3.0,BA,"Position Title: Vocational Trainer ""Tailoring"""
794,Kabul City,National,Business,Full Time,Male,2.0,BA,Position Title: Reconciliation  & Settlement officer
795,East Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Community Outreach Focal Points
796,West Zone,National,Business,Part Time,Female,3.0,BA,"Position Title: Computer Teacher "" 2 Female"""
797,West Zone,National,Business,Part Time,Any,3.0,BA,"Position Title: English Teacher "" 1 Male 2 Female"""
798,Kabul City,National,Business,Full Time,Female,3.0,BA,Position Title: M&E Officer (Re Announced)
799,Kabul City,National,Business,Full Time,Any,0.0,BA,Position Title: Finance Officer (Tax)
800,West Zone,National,Business,Part Time,Female,3.0,BA,"Position Title: Vocational Trainer "" Tailoring""  "" 1 Female"""
801,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Finance Officer (PF & Medical)
802,Kabul City,National,Others,Full Time,Male,5.0,BA,Position Title: Sale Manager
803,Kabul City,National,Business,Part Time,Female,3.0,BA,"Position Title: Pashto & English Teacher "" 2 Female"""
804,Kabul City,National,Health,Full Time,Any,1.0,BA,Position Title: IMS/Pharmacy Assistant
805,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Accountant
806,South Zone,National,Health,Full Time,Any,1.0,BA,Position Title: IMS/Pharmacy Assistant
807,South Zone,National,Health,Full Time,Any,1.0,BA,Position Title: IMS/Pharmacy Assistant
808,Kabul City,National,Business,Part Time,Female,3.0,BA,"Position Title: Vocational Trainer "" Tailoring""  "" 1 Female"""
809,Kabul City,National,Others,Full Time,Any,2.5,BA,"Position Title: Lecturers Computer Science, Programming"
810,Kabul City,National,Others,Full Time,Any,5.0,BA,Position Title: Dean of Science faculty
811,Kabul City,National,Health,Full Time,Any,6.0,BA,Position Title: Project Manager
812,Kabul Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Program Manager
813,North-Zone,National,Health,Full Time,Male,6.0,BA,Position Title: Hospital Director
814,Kabul Zone,National,Business,Full Time,Any,3.0,BA,Position Title: MEAL Officer
815,West Zone,National,Business,Full Time,Male,4.5,BA,Position Title: MEAL Manager
816,North-Zone,National,Health,Full Time,Any,5.0,BA,Position Title: Pediatrician/Medical Specialist
817,Kabul City,National,Others,Part Time,Any,3.0,BA,Position Title: Literacy Teacher
818,Kabul City,National,Business,Full Time,Female,3.0,BA,Position Title: MEAL Officer
819,North-East Zone,National,Others,Full Time,Any,4.0,BA,Position Title: WASH Engineer
820,North-Zone,National,Business,Full Time,Any,4.0,BA,Position Title: Admin/HR Finance Officer
821,North-Zone,National,Business,Full Time,Male,4.0,BA,Position Title: Logistic Officer/Store Keeper
822,North-Zone,National,Business,Full Time,Male,2.0,BA,Position Title: Social Worker
823,North-Zone,National,Health,Full Time,Female,4.0,BA,Position Title: Medical Doctor
824,North-Zone,National,Engineering,Full Time,Female,1.5,BA,Position Title: Digital Hub Facilitator
825,North-Zone,National,Engineering,Full Time,Female,3.0,BA,Position Title: Life Skills Trainer
826,East Zone,National,Business,Full Time,Female,1.0,BA,Position Title: Center Manager
827,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Program Development Manager (Re Announced)
828,South Zone,National,Health,Full Time,Female,5.0,HS,Position Title: FAST-TRACK: Re-Announcement- National Midwifery Support Assistant-SB3
829,North-Zone,Any,Education,Full Time,Any,3.0,HS,Position Title: English Trainer
830,South Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Roster HR Officer
831,North-East Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Community Mobilizers (Re Announced) (Re Announced)
832,Kabul Zone,National,Education,Full Time,Male,2.0,BA,Position Title: Admin/Finance Officer (Re Announced)
833,West Zone,National,Others,Full Time,Any,3.5,BA,Position Title: Cook
834,Kabul Zone,National,Business,Full Time,Female,2.0,BA,Position Title: Finance Assistant (Only Female) (Re Announced)
835,North-Zone,National,Health,Full Time,Female,2.0,BA,Position Title:  Head Nurse
836,West Zone,National,Business,Full Time,Any,3.0,BA,Position Title: Finance Assistant
837,North-Zone,National,Others,Full Time,Any,3.0,VD,Position Title: Data Entry Assistant
838,North-Zone,National,Engineering,Full Time,Female,2.0,VD,Position Title: Center Facilitator
839,North-Zone,National,Others,Full Time,Female,3.0,BA,Position Title: Social worker
840,Kabul City,National,Business,Full Time,Any,2.0,BA,Position Title: MEAL Intern
841,North-Zone,National,Business,Full Time,Any,1.5,BA,Position Title: Social Organizer (Only Couple)
842,Kabul City,National,Business,Full Time,Any,5.0,BA,Position Title: Logistics Manager ? Pharma & Non-Pharma
843,North-Zone,National,Education,Full Time,Female,2.0,BA,Position Title: Educator
844,North-Zone,National,Business,Full Time,Female,3.0,BA,Position Title: PSS support worker
845,Central Highlands,National,Business,Full Time,Any,2.0,BA,Position Title: Supply Chain Assistant
846,North-Zone,National,Health,Full Time,Any,4.0,BA,Position Title: Medical Doctor
847,Central Highlands,National,Business,Full Time,Any,2.0,BA,Position Title: Procurement Assistant
848,Kabul City,National,Business,Full Time,Any,6.0,BA,Position Title: Grants Management Specialist - Grants Management and Reporting (GMR) (Re Announced)
849,Kabul City,National,Others,Full Time,Any,3.0,BA,Position Title: Disability Specialist
850,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Trainer
851,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Project Supervisor
852,Central Highlands,National,Business,Full Time,Any,3.0,BA,Position Title: M&E Extender (Southeast region)
853,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Project Monitor
854,North-Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Storekeeper
855,West Zone,National,Business,Full Time,Any,1.0,BA,"Position Title: Monitoring, Evaluation, Accountability and Learning (MEAL) Officer-Nimruz (Re Announced)"
856,Kabul City,National,Business,Full Time,Any,4.5,BA,Position Title: Human Resources and Finance Manager
857,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Community Mobilizer
858,East Zone,National,Business,Full Time,Any,6.0,BA,Position Title: Field Engineer
859,East Zone,National,Business,Full Time,Any,5.0,BA,Position Title: Project Assistant
860,West Zone,National,Business,Full Time,Any,10.0,BA,Position Title: Deputy Program Manager FOOD SECURITY AND LIVELIHOOD (Re Announced)
861,East Zone,National,Business,Full Time,Male,1.0,BA,Position Title: teller
862,Kabul City,National,Engineering,Full Time,Male,5.0,BA,Position Title: Quantity Surveyor
863,East Zone,National,Business,Full Time,Any,6.0,BA,Position Title: Field Engineer
864,Kabul City,National,IT,Full Time,Any,4.5,BA,Position Title: IT Officer
865,East Zone,National,Business,Full Time,Any,8.0,BA,Position Title: Provincial Engineer
866,Kabul City,National,Others,Full Time,Any,2.0,BA,Position Title: Programme Support Officer
867,Kabul City,National,Business,Full Time,Any,4.5,BA,Position Title: Procurement Officer
868,East Zone,National,Business,Full Time,Any,8.0,BA,Position Title: Provincial Team Leader
869,Kabul City,National,Health,Full Time,Female,3.0,HS,Position Title: Project Coordinator
870,West Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Surveyor
871,South Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Surveyor
872,South Zone,National,Business,Full Time,Male,5.0,HS,Position Title: M&E Officer (Re Announced) (Re Announced)
873,North-Zone,National,Business,Full Time,Any,3.0,HS,Position Title: MHPSS Officer (Re Announced) (Re Announced)
874,North-East Zone,National,Others,Full Time,Any,1.0,HS,Position Title: Surveyor/ Data Enumerator
875,North-Zone,National,Business,Full Time,Any,2.0,HS,Position Title: Project Coodinator
876,East Zone,National,Business,Full Time,Male,1.0,HS,Position Title: teller
877,East Zone,National,Health,Full Time,Female,5.0,HS,Position Title: Health Program Officer
878,Central Highlands,National,Others,Full Time,Any,5.0,HS,Position Title: Base Finance Manager
879,Kabul City,National,Business,Full Time,Any,7.0,MA,Position Title: HER Project Manager
880,Kabul City,Any,Others,Full Time,Any,3.0,MA,Position Title: Proposal Writer/Program Manager
881,East Zone,National,Business,Full Time,Male,1.0,BA,Position Title: CSO
882,East Zone,National,Business,Full Time,Male,3.0,BA,Position Title: Driver
883,North-Zone,National,Business,Full Time,Male,1.0,BA,Position Title: CSR
884,West Zone,National,Business,Full Time,Male,1.0,BA,Position Title: teller
885,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Monitoring and Evaluation Officer
886,Kabul City,National,Legal,Full Time,Any,3.0,BA,Position Title: Compliance and Audit Officer
887,West Zone,National,Others,Part Time,Male,2.5,MA,Position Title: Cleaner
888,Kabul City,National,Others,Full Time,Male,1.0,MA,Position Title: Geometrical Design Teacher Assistant
889,Kabul City,National,Business,Full Time,Any,3.0,MA,Position Title: Finance and Budget Trainer
890,Kabul City,National,Others,Full Time,Male,2.0,MA,Position Title: Publication and Culture officer
891,Kabul City,National,Others,Full Time,Male,2.0,MA,Position Title: Calligraphy Teacher
892,North-Zone,National,Business,Full Time,Male,1.0,MA,Position Title: teller
893,Kabul City,National,Others,Full Time,Male,2.0,MA,Position Title: Miniature Painting Teacher
894,East Zone,National,Health,Full Time,Female,2.0,MA,Position Title: Female Vaccinator
895,Kabul City,National,Business,Full Time,Male,3.0,MA,Position Title: Proposal Writer and Trainer
896,North-East Zone,National,Business,Full Time,Female,3.0,MD,"Position Title: Protection, Gender and Inclusion Officer (Female)"
897,West Zone,National,Business,Full Time,Female,3.0,MD,Position Title: Reporter
898,Central Highlands,National,Health,Full Time,Male,1.0,MD,Position Title: SHC Medical Doctor
899,North-East Zone,National,Business,Full Time,Female,3.0,MD,"Position Title: Protection, Gender and Inclusion Officer (Female)"
900,North-Zone,National,Business,Full Time,Female,3.0,MD,"Position Title: Protection, Gender and Inclusion Officer (Female)"
901,South Zone,National,Engineering,Full Time,Male,2.0,MD,Position Title: Water Safety Planning Engineer for Chlorination
902,North-East Zone,National,Health,Full Time,Any,1.0,MD,Position Title: Medical Doctor/Team Leader for COVID-19 Activity under HIV Project
903,Kabul City,National,Others,Full Time,Female,2.5,MD,Position Title: Cook/ cleaner
904,East Zone,National,Business,Full Time,Any,1.0,MD,Position Title: MEAL Assistant
905,Kabul City,National,Business,Full Time,Any,7.5,MD,Position Title: Internal Audit Manager
906,Kabul City,National,Business,Full Time,Male,3.0,MD,Position Title: Project Manager
907,Kabul City,National,Health,Full Time,Any,3.0,MD,Position Title: Pediatrician (Re Announced)
908,Kabul City,National,Health,Full Time,Any,4.0,MD,Position Title: TB RSSH Project Manager
909,West Zone,National,Health,Full Time,Any,0.0,MD,Position Title: Hospital Manager 20 beds Infection Diseases Hospital Badghis
910,East Zone,National,IT,Full Time,Any,3.0,BA,Position Title: Data Entry Officer
911,North-Zone,National,Health,Full Time,Any,0.0,BA,Position Title: HMIS coordinator/Monitoring & Performance Manager
912,Central Highlands,National,Health,Full Time,Male,2.0,BA,Position Title: Nutrition Officer
913,Central Highlands,National,Others,Full Time,Male,5.0,BA,Position Title: Driver
914,West Zone,National,Health,Full Time,Any,15.0,BA,Position Title: PHC/SHC (BPHS-EPHS) Project Manager
915,Kabul City,National,Health,Full Time,Any,3.0,BA,Position Title: Stomatolog MD
916,Kabul City,National,Others,Full Time,Any,2.0,BA,Position Title: Pharmacy Assistant
917,Central Highlands,National,Health,Full Time,Male,2.0,HS,Position Title: HMIS Officer
918,Central Highlands,National,Health,Full Time,Female,2.0,MA,Position Title: Gynecologist Specialist
919,Kabul City,National,Business,Full Time,Any,7.0,MD,Position Title: Head of Financial Reporting
920,Central Highlands,National,Health,Full Time,Any,2.0,MD,Position Title: Internal Medical Specialist
921,Kabul City,National,Engineering,Full Time,Any,9.0,MD,Position Title: Project Manager
922,North-Zone,National,Others,Full Time,Male,2.0,MD,Position Title: Sale Agent -Direct Sale
923,Kabul City,National,Engineering,Full Time,Any,5.0,MD,Position Title: Health and Safety Officer
924,Kabul City,National,Others,Full Time,Male,2.0,BA,Position Title: Admin Finance Assistant
925,Kabul City,National,Others,Full Time,Male,2.0,HS,Position Title: Finance officer
926,Kabul City,National,Engineering,Full Time,Any,8.0,BA,Position Title: QC Engineer
927,Kabul City,National,Business,Full Time,Any,4.0,BA,Position Title: Community Liaison Officer
928,Kabul City,National,Business,Full Time,Any,3.0,BA,Position Title: Grants and compliance officer
